addressee,addressee,date,location
SIDNEY COLVIN,1,49,54
CHARLES BAXTER,1,38,38
W. E. HENLEY,1,31,35
EDMUND GOSSE,1,30,30
MRS. SITWELL,1,24,28
MRS. THOMAS STEVENSON,1,23,24
E. L. BURLINGAME,1,20,22
HENRY JAMES,1,18,18
THOMAS STEVENSON,1,15,15
W. H. LOW,1,14,14
MR. AND MRS. THOMAS STEVENSON,1,12,12
R. A. M. STEVENSON,1,7,8
ALISON CUNNINGHAM,1,8,8
MISS ADELAIDE BOODLE,1,8,8
WILLIAM ARCHER,1,8,8
MRS. FLEEMING JENKIN,1,4,6
JAMES PAYN,1,5,5
FREDERICK LOCKER,1,4,5
J. M. BARRIE,1,5,5
J. A. SYMONDS,1,4,4
MISS FERRIER,1,4,4
DR. ALEXANDER JAPP,1,4,4
P. G. HAMERTON,1,4,4
A. CONAN DOYLE,1,4,4
MRS. CHARLES FAIRCHILD,1,3,3
H. B. BAILDON,1,3,3
HORATIO F. BROWN,1,2,3
MARCEL SCHWOB,1,3,3
MISS MONROE,1,3,3
W. CRAIBE ANGUS,1,3,3
ANDREW LANG,1,3,3
LIEUTENANT EELES,1,2,2
MRS. DE MATTOS,1,2,2
A. PATCHETT MARTIN,1,2,2
PROFESSOR AENEAS MACKAY,1,2,2
AUGUSTUS ST. GAUDENS,1,2,2
MISS RAWLINSON,1,2,2
C. W. STODDARD,1,2,2
S. R. CROCKETT,1,2,2
COSMO MONKHOUSE,1,2,2
THE COUNTESS OF JERSEY,1,1,2
THE REV. DR. CHARTERIS,1,2,2
SIR HERBERT MAXWELL,1,2,2
GEORGE MEREDITH,1,2,2
W H LOW,1,1,1
WILLIAM ARCHER.,1,1,1
THE EDITOR OF THE 'NEW YORK TRIBUNE',1,1,1
MRS. T. STEVENSON,1,1,1
T. WATTS,1,1,1
WILLIAM AND THOMAS ARCHER,1,1,1
W. H. LOW.,1,1,1
R. LE GALLIENNE,1,1,1
W. B. YEATS,1,1,1
T. W. DOVER,1,1,1
SPRING GROVE SCHOOL,1,1,1
RUDYARD KIPLING,1,1,1
THE REV. PROFESSOR LEWIS CAMPBELL,1,1,1
RUSSELL P,1,1,1
MRS. R. L. STEVENSON,1,1,1
THOMAS ARCHER,1,1,1
TAUTIRA,1,1,1
2 SULYARDE TERRACE,1,1,1
MRS. MILNE,1,1,1
H. A. JONES,1,1,1
A. G. DEW,1,1,1
A. ST. GAUDENS,1,1,1
ALEXANDER IRELAND,1,1,1
ANDREW CHATTO,1,1,1
AUSTIN DOBSON,1,1,1
CHARLES SCRIBNER,1,1,1
CHARLES WARREN STODDARD,1,1,1
DR. BAKEWELL,1,1,1
DR. SCOTT,1,1,1
DR. W. BAMFORD,1,1,1
E. L BURLINGAME,1,1,1
EDMUND GOSSE.,1,1,1
FRED ORR,1,1,1
GORDON BROWNE,1,1,1
H. C. IDE ,1,1,1
MRS. JENKIN,1,1,1
HOMER ST. GAUDENS,1,1,1
J. H. BATES,1,1,1
J. HORNE STEVENSON,1,1,1
JOHN P,1,1,1
MESSRS. CHATTO AND WINDUS,1,1,1
MISS ANNIE H. IDE,1,1,1
MISS MIDDLETON,1,1,1
MISS MORSE,1,1,1
MR. DICK,1,1,1
MR. MARCEL SCHWOB,1,1,1
MRS SITWELL,1,1,1
MRS. A. BAKER,1,1,1
MRS. BAKER,1,1,1
MRS. CHURCHILL BABINGTON,1,1,1
WILLIAM MORRIS,1,1,1
